item_id,item_name,gtin,manufacturer,mpn,product_category,unit_cost,moq,lead_time_days,last_updated
WHL_000519,CalDigit CAL18907 Rechargeable Battery Kit,0000000000519,CalDigit,CAL-000519,Accessories,1620.08,50,28,2025-08-21T00:00:00
WHL_001647,JSAUX JSA131707 USB-C Cable 6ft,0000000001647,JSAUX,JSA-001647,Accessories,392.16,5,5,2024-05-24T00:00:00
WHL_003456,Tripp Lite TRI312607 Camera Bag Backpack,0000000003456,Tripp Lite,TRI-003456,Accessories,595.53,1,5,2024-11-08T00:00:00
WHL_002616,CalDigit CAL228607 Adapter Lightning to USB-C,0000000002616,CalDigit,CAL-002616,Accessories,1046.00,25,9,2024-11-14T00:00:00
WHL_002261,ESR ESR193107 Phone Mount Car Vent,0000000002261,ESR,ESR-002261,Accessories,1156.17,1,7,2025-06-05T00:00:00
WHL_001163,Spigen SPI83307 Ethernet Cat6 Cable 25ft,0000000001163,Spigen,SPI-001163,Accessories,506.55,50,20,2025-05-21T00:00:00
WHL_002843,Twelve South TWE251307 Stylus Pen Universal,0000000002843,Twelve South,TWE-002843,Accessories,239.98,5,30,2024-09-29T00:00:00
WHL_002106,Dynex DYN177607 Microphone Pop Filter,0000000002106,Dynex,DYN-002106,Accessories,651.61,5,5,2025-01-22T00:00:00
WHL_000213,ASUS TUF Gaming RTX 4070 Ti Super,0000000000213,ASUS,ASU-000213,Graphics Cards,1664.11,25,7,2024-06-29T00:00:00
WHL_002567,PNY PNY223707 Laptop Stand Adjustable,0000000002567,PNY,PNY-002567,Accessories,1796.36,25,11,2025-08-17T00:00:00
WHL_001094,HyperDrive HYP76407 Tripod Mini Tabletop,0000000001094,HyperDrive,HYP-001094,Accessories,718.24,25,27,2024-03-03T00:00:00
WHL_000387,JETech JET5707 MicroSD Card 512GB,0000000000387,JETech,JET-000387,Accessories,517.12,10,19,2025-05-25T00:00:00
WHL_001500,Mophie MOP117007 Wireless Charger Pad 15W,0000000001500,Mophie,MOP-001500,Accessories,2244.32,50,5,2024-11-03T00:00:00
WHL_001896,Tripp Lite TRI156607 Stylus Pen Universal,0000000001896,Tripp Lite,TRI-001896,Accessories,492.01,10,30,2024-12-04T00:00:00
WHL_001497,AmazonBasics AMA116707 HDMI Cable 10ft,0000000001497,AmazonBasics,AMA-001497,Accessories,5.43,10,13,2025-08-11T00:00:00
WHL_003374,Baseus BAS304407 Extension Cord 10ft,0000000003374,Baseus,BAS-003374,Accessories,1520.05,50,19,2024-08-28T00:00:00
WHL_000471,OtterBox OTT14107 Compressed Air Duster 2-Pack,0000000000471,OtterBox,OTT-000471,Accessories,109.83,5,23,2024-04-06T00:00:00
WHL_003176,Twelve South TWE284607 Green Screen Backdrop 5x7ft,0000000003176,Twelve South,TWE-003176,Accessories,803.40,10,8,2024-04-17T00:00:00
WHL_003723,ESR ESR339307 USB-C Cable 6ft,0000000003723,ESR,ESR-003723,Accessories,1109.17,10,18,2024-06-14T00:00:00
WHL_002234,AmazonBasics AMA190407 Wall Mount 65-inch,0000000002234,AmazonBasics,AMA-002234,Accessories,1866.69,5,20,2024-08-22T00:00:00
WHL_000929,StarTech STA59907 Screen Protector Film,0000000000929,StarTech,STA-000929,Accessories,458.89,10,14,2025-07-24T00:00:00
WHL_002596,StarTech STA226607 HDMI Switch 3x1,0000000002596,StarTech,STA-002596,Accessories,1245.61,5,27,2024-05-16T00:00:00
WHL_002785,OtterBox OTT245507 Guitar Cable 20ft,0000000002785,OtterBox,OTT-002785,Accessories,340.90,50,18,2024-03-31T00:00:00
WHL_003119,Spigen SPI278907 Lightning Cable 3ft,0000000003119,Spigen,SPI-003119,Accessories,127.43,5,27,2025-06-26T00:00:00
WHL_001982,Sabrent SAB165207 Camera Lens Protector,0000000001982,Sabrent,SAB-001982,Accessories,189.74,10,19,2024-01-04T00:00:00
WHL_002105,Monoprice MON177507 Banana Plug Connector 4-Pack,0000000002105,Monoprice,MON-002105,Accessories,1024.32,1,6,2024-09-23T00:00:00
WHL_003690,UGREEN UGR336007 HDMI Cable 6ft,0000000003690,UGREEN,UGR-003690,Accessories,1426.84,10,14,2025-04-05T00:00:00
WHL_002509,Baseus BAS217907 Keyboard Cover Silicone,0000000002509,Baseus,BAS-002509,Accessories,141.03,50,13,2024-05-04T00:00:00
WHL_000128,LG CordZero A9 Stick Vacuum,0000000000128,LG,LG-000128,Home Appliances,1230.69,50,14,2025-06-21T00:00:00
WHL_001515,UGREEN UGR118507 Laptop Sleeve 15-inch,0000000001515,UGREEN,UGR-001515,Accessories,117.11,25,24,2025-08-20T00:00:00
WHL_001097,INIU INI76707 Screen Protector Film,0000000001097,INIU,INI-001097,Accessories,1489.52,50,10,2024-06-07T00:00:00
WHL_000465,Kensington KEN13507 Tablet Stand Foldable,0000000000465,Kensington,KEN-000465,Accessories,249.46,50,24,2024-11-24T00:00:00
WHL_000790,CalDigit CAL46007 Laptop Sleeve 15-inch,0000000000790,CalDigit,CAL-000790,Accessories,440.39,50,24,2025-04-30T00:00:00
WHL_000584,AmazonBasics AMA25407 Power Strip 8-Outlet USB,0000000000584,AmazonBasics,AMA-000584,Accessories,792.69,50,5,2025-08-11T00:00:00
