product_id,product_name,upc,brand,category,price_usd,sku,status,created_at
ECOM_000000,Apple MacBook Air M3 13-inch 256GB,030000000007,Apple,Laptops,1089.64,STR-APP-00000,active,2025-08-04T00:00:00
ECOM_000001,Apple MacBook Pro 14-inch M3 Pro,030001000013,Apple,Laptops,1896.98,STR-APP-00001,active,2024-03-09T00:00:00
ECOM_000002,Apple iPhone 15 Pro 256GB,030002000029,Apple,Smartphones,1033.10,STR-APP-00002,discontinued,2025-08-22T00:00:00
ECOM_000003,Apple iPhone 15 128GB,030003000035,Apple,Smartphones,808.65,STR-APP-00003,active,2025-05-03T00:00:00
ECOM_000004,Apple iPad Air M2 11-inch 128GB,030004000041,Apple,Tablets,627.20,STR-APP-00004,discontinued,2025-01-18T00:00:00
ECOM_000005,Apple AirPods Pro 2nd Gen USB-C,030005000057,Apple,Audio,205.31,STR-APP-00005,active,2024-02-04T00:00:00
ECOM_000006,Apple Apple Watch Series 9 45mm,030006000063,Apple,Wearables,454.05,STR-APP-00006,active,2023-06-10T00:00:00
ECOM_000007,Apple Mac Mini M2 256GB,030007000079,Apple,Desktops,544.26,STR-APP-00007,active,2025-03-13T00:00:00
ECOM_000008,Samsung Galaxy S24 Ultra 256GB,030008000085,Samsung,Smartphones,1363.01,STR-SAM-00008,active,2023-11-08T00:00:00
ECOM_000009,Samsung Galaxy Tab S9 FE 128GB,030009000091,Samsung,Tablets,476.59,STR-SAM-00009,active,2025-12-12T00:00:00
ECOM_000010,Samsung Galaxy Watch 6 Classic 47mm,030010000103,Samsung,Wearables,365.79,STR-SAM-00010,active,2025-09-17T00:00:00
ECOM_000011,Samsung Galaxy Buds FE,030011000119,Samsung,Audio,79.94,STR-SAM-00011,active,2025-04-23T00:00:00
ECOM_000012,Samsung 990 EVO Plus 2TB NVMe SSD,030012000125,Samsung,Storage,185.83,STR-SAM-00012,active,2024-03-04T00:00:00
ECOM_000013,Dell XPS 15 9530 i7 16GB,030013000131,Dell,Laptops,1503.12,STR-DEL-00013,active,2025-03-18T00:00:00
ECOM_000014,Dell Ultrasharp U2723QE 27-inch 4K Monitor,030014000147,Dell,Monitors,611.48,STR-DEL-00014,discontinued,2023-05-02T00:00:00
